# old database data
#old=# SELECT * FROM accounts;
                  id                  |      name       |              email               
--------------------------------------+-----------------+----------------------------------
 617c9937-f1bb-45c8-a382-bebd2d67321e | Leshaun         | Leshaun4325@gmail.com
 de66baf1-b417-40b9-9b29-e4bfaa890602 | Yon             | Yon4326@gmail.com
 fcfc77d2-30c4-4809-8a32-039df07def34 | Blane           | Blane4327@yahoo.com
 c3f6a088-5331-4704-978a-fed9831d1eda | Sherea          | Sherea4329@hotmail.com
 63c2da8e-959b-4410-835b-dacbef87e68b | Atheena         | Atheena4330@hotmail.com
 7258bc36-3f2f-4555-941d-0b1c5a10ed40 | Flannery        | Flannery4333@hotmail.com
 df1e3b81-441e-4a5e-9557-e34cfbd30429 | Kaj             | Kaj4334@yahoo.com
 957c8db8-87de-4f55-882c-2ac0a24703af | Gergory         | Gergory4335@aim.chat
 e7286901-36ed-4c2c-81bf-702042a5cadf | Phebe           | Phebe4336@hotmail.com
 26ef63d9-dc28-4abd-bb42-c070b7173dac | Martez          | Martez4337@yahoo.com
 a271a145-5c81-4ca6-b421-fceac464c3e3 | Keiko           | Keiko4338@aim.chat
 503f4be3-6e52-42ec-97b4-274a3b238518 | Alexzandria     | Alexzandria4339@comcast.net
 a4663356-391a-4039-ac9c-cf92af1c5e5a | Blane           | Blane4341@aim.chat
 f528fdf0-4fdd-4d79-9a9c-4a9d9efdb906 | Damone          | Damone4342@hotmail.com
 8fa56583-2009-4be4-b061-f1abec223327 | Mikeisha        | Mikeisha4344@yahoo.com
 dfe9164f-8d3a-46a3-a5e9-e32a8d2e692d | Yanette         | Yanette4345@comcast.net
 68a94ee9-f5c3-4f0b-8e77-493a265bf35c | Debby           | Debby4348@hotmail.com
 3dfa54dd-5d6f-4f1f-b09e-3816763f31bc | Stephana        | Stephana4349@comcast.net
 f35799c5-f45d-4d01-a1fd-4e75a9f19023 | Donovin         | Donovin4350@aim.chat
 1f87acd9-49ef-4723-ad4d-26e8b27fa37e | Sindi           | Sindi4351@aim.chat
 adf020dc-c73a-4761-81c1-6bafe5cdd58a | Serafin         | Serafin4353@aim.chat
 b791b863-52dc-4a77-84ba-515d909b1905 | Eldridge        | Eldridge4356@comcast.net
 5820dc3f-c962-4479-b1ea-e41bd7035a5a | Devonne         | Devonne4357@comcast.net
 75236bc4-ac85-497f-a03f-1c94f6fe1a09 | Kaya            | Kaya4358@aim.chat
 2ee98918-2e23-46bf-9c4e-324c63b58524 | Dawud           | Dawud4359@comcast.net
 544411b6-75a2-48e5-9563-26c70f2861c4 | Arica           | Arica4361@comcast.net
 7c204f93-4e4e-4de8-bead-b6b413401c09 | Keturah         | Keturah4362@yahoo.com
 458dd3b2-51f8-430b-9ab7-69e3a4da1737 | Jennett         | Jennett4363@aim.chat
 39c99fce-b236-4d0d-92ec-773ae7289ba2 | Jerimy          | Jerimy4364@comcast.net
 45fcd585-171a-4c32-b9c6-2b5f396730c7 | Janean          | Janean4365@comcast.net
 c8e8e40b-76ec-40c7-9ebe-2675b742bdfb | Melana          | Melana4366@hotmail.com
 ce906a38-a9e1-4a65-8ffa-40f45a633156 | Kadin           | Kadin4368@hotmail.com
 e62bf4cb-8999-44ff-a01a-f74cc3cd4462 | Tosh            | Tosh4369@gmail.com
 e175d564-bcd7-4d95-aa2b-0eab3d96e0d1 | Sasan           | Sasan4371@comcast.net
 ea5699bb-27bf-40b4-9971-a9c440ffe0a8 | Wilda           | Wilda4372@comcast.net
 50c0e520-443f-4aab-84df-bce6d1d3e62f | Rocheal         | Rocheal4373@gmail.com
 853a7263-642b-4cce-ab75-905d16f9bbf7 | Quienton        | Quienton4374@gmail.com
 26d8c62e-d34c-40e0-8642-579b02ea100a | Efrat           | Efrat4375@hotmail.com
 65f3f33a-b477-4eb1-b8f8-1df676fcd639 | Raeanna         | Raeanna4377@aim.chat
 483f76b2-f86e-40af-bea5-4da1ebb7dfe4 | Tanisha         | Tanisha4378@hotmail.com
 efe275f9-3cdf-4961-acc6-d2b7b8ae2331 | Wessley         | Wessley4379@aim.chat
 67353d02-7788-4272-a18a-b4fe86bd3f8d | Melisssa        | Melisssa4380@yahoo.com
 2f0f373e-4756-41a7-9fca-f029fab78a81 | Geron           | Geron4381@yahoo.com
 16b3e13f-e3c5-4a46-8cf9-07346d392478 | Edina           | Edina4382@gmail.com
 634e5f9e-9802-4d5c-8f30-0bfa1ace447c | Vong            | Vong4383@gmail.com
 62d389d8-5949-4d67-a258-ffc5b6ec39ef | Kaiya           | Kaiya4385@comcast.net
 77df44f6-6225-4530-8d29-75e783d50007 | Joeanthony      | Joeanthony4386@comcast.net
 6a581b8c-d2b2-4a62-8d10-3429efc2927a | Candiace        | Candiace4388@yahoo.com
 2d1f8ac5-8fed-4c21-9757-fffcc685af57 | Wallace         | Wallace4389@aim.chat
 98b0367d-bcf8-4771-88df-ac75d3ffd62a | Lesleyann       | Lesleyann4390@gmail.com
 78ba657a-aa03-46d7-beb4-5b78630c2abb | Chanse          | Chanse4391@aim.chat
old=# 
